"Version","Task","Concept","Att 1 - Brand","Att 2 - Verified Buyer Ratings","Att 3 - Mattress Type","Att 4 - Firmness","Att 5 - Trial Period","Att 6 - Warranty","Att 7 - Price (Queen)"
12,9,3,6,2,4,3,4,1,7
12,9,4,2,1,2,4,2,3,1
12,10,1,13,5,3,3,1,1,2
12,10,2,1,2,2,4,2,4,5
12,10,3,15,4,5,1,3,2,4
12,10,4,16,3,4,5,4,3,1
12,11,1,7,5,4,5,4,1,2
12,11,2,12,3,2,4,1,2,3
12,11,3,5,4,1,1,3,3,7
12,11,4,11,1,5,2,2,4,5
12,12,1,10,2,1,1,3,3,4
12,12,2,9,1,5,2,1,1,6
12,12,3,3,4,3,3,4,2,2
12,12,4,8,3,4,4,2,4,7
13,1,1,6,2,5,1,3,1,3
13,1,2,4,4,1,3,4,2,4
13,1,3,10,5,3,2,1,3,6
13,1,4,7,1,2,5,2,4,5
13,2,1,16,3,4,3,2,2,6
13,2,2,12,4,5,2,3,1,4
13,2,3,5,1,2,5,1,4,1
13,2,4,2,5,3,1,4,3,3
13,3,1,15,4,4,2,4,4,1
13,3,2,9,3,5,1,1,1,2
13,3,3,1,1,3,3,2,2,5
13,3,4,13,2,1,4,3,3,7
13,4,1,8,5,2,5,1,1,6
13,4,2,14,2,1,4,3,2,2
13,4,3,11,3,3,1,4,3,4
13,4,4,3,1,5,3,2,4,7
13,5,1,3,4,1,5,4,3,3
13,5,2,2,2,4,2,1,1,5
13,5,3,10,1,5,1,3,2,7
13,5,4,16,5,2,4,2,4,1
13,6,1,4,4,4,4,1,2,1
13,6,2,11,2,2,5,4,1,3
13,6,3,8,3,1,2,3,3,5
13,6,4,13,5,3,3,2,4,2
13,7,1,9,2,1,1,1,4,6
13,7,2,1,3,2,2,2,1,1
13,7,3,12,5,4,5,4,2,4
13,7,4,15,4,5,4,3,3,3
13,8,1,7,4,4,1,1,2,6
13,8,2,6,3,5,4,4,4,4
13,8,3,14,1,3,3,3,3,2
13,8,4,5,5,2,5,2,1,5
13,9,1,5,3,4,4,1,3,1
13,9,2,3,1,3,2,3,2,3
13,9,3,1,2,1,3,4,4,7
13,9,4,9,4,5,1,2,1,5
13,10,1,16,2,2,3,2,1,7
13,10,2,12,1,3,5,4,3,4
13,10,3,10,3,4,1,1,2,6
13,10,4,4,5,1,2,3,4,2
13,11,1,15,2,3,3,4,1,7
13,11,2,13,5,5,2,1,4,1
13,11,3,2,1,1,4,3,2,3
13,11,4,8,4,2,5,2,3,6
13,12,1,14,5,5,4,2,2,4
13,12,2,6,1,1,2,1,1,6
13,12,3,7,4,2,1,4,4,2
13,12,4,11,3,4,3,3,3,5
14,1,1,7,4,2,3,2,2,5
14,1,2,4,5,4,1,1,4,2
14,1,3,11,2,3,5,3,3,7
14,1,4,6,1,1,4,4,1,4
14,2,1,13,3,5,2,2,2,3
14,2,2,10,2,3,5,3,1,1
14,2,3,1,5,2,4,1,3,7
14,2,4,9,4,4,1,4,4,5
14,3,1,12,1,1,3,1,3,3
14,3,2,5,4,2,4,4,4,6
14,3,3,3,2,3,2,3,1,1
14,3,4,15,3,5,5,2,2,4
14,4,1,14,1,4,3,1,2,4
14,4,2,8,2,3,2,2,1,2
14,4,3,2,3,1,5,3,3,1
14,4,4,16,5,5,1,4,4,7
14,5,1,2,5,5,1,3,3,5
14,5,2,4,2,1,3,1,4,2
14,5,3,8,4,3,4,2,2,6
14,5,4,10,3,2,2,4,1,3
14,6,1,5,3,3,4,2,4,5
14,6,2,6,2,2,3,4,2,7
14,6,3,16,1,4,5,1,3,6
14,6,4,14,4,1,2,3,1,1
14,7,1,9,5,4,1,2,4,3
14,7,2,12,1,5,5,1,3,2
14,7,3,13,3,3,4,3,1,4
14,7,4,15,2,1,3,4,2,6
14,8,1,1,2,3,3,2,1,7
14,8,2,3,4,5,1,4,4,5
14,8,3,7,1,4,5,1,2,2
14,8,4,11,5,2,2,3,3,1
14,9,1,11,5,2,4,4,4,6
14,9,2,13,4,1,2,2,3,3
14,9,3,3,3,4,5,1,1,4
14,9,4,2,1,5,1,3,2,1
14,10,1,6,2,5,4,1,2,5
14,10,2,15,4,2,5,3,3,3
14,10,3,7,1,4,3,4,4,2
14,10,4,16,5,1,1,2,1,4
14,11,1,4,2,5,1,1,4,6
14,11,2,14,1,2,3,3,3,2
14,11,3,1,4,1,5,2,1,5
14,11,4,9,3,3,2,4,2,7
14,12,1,10,4,5,3,3,2,3
14,12,2,12,1,1,1,2,4,1
14,12,3,5,3,3,4,1,1,7
14,12,4,8,5,4,2,4,3,4
15,1,1,3,4,5,3,1,4,6
15,1,2,13,2,3,5,3,3,4
